section,index,sinhala_word,singlish_word,main_vowel_char,main_vowel_name,audio_path
ක්‍රියාකාරකම-02,06,කෝලය,Koolaya,ඕ,oo,swara_audio_cloud/ක්‍රියාකාරකම-02/06_කෝලය_kooly.mp3
ක්‍රියාකාරකම-02,07,පීසා,Piisaa,ඊ,ii,swara_audio_cloud/ක්‍රියාකාරකම-02/07_පීසා_piisaa.mp3
ක්‍රියාකාරකම-02,07,පූසා,Puusaa,ඌ,uu,swara_audio_cloud/ක්‍රියාකාරකම-02/07_පූසා_puusaa.mp3
ක්‍රියාකාරකම-02,08,මුල්ල,Mulla,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-02/08_මුල්ල_mull.mp3
ක්‍රියාකාරකම-02,08,මල්ල,Malla,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-02/08_මල්ල_mll.mp3
ක්‍රියාකාරකම-02,09,ගුල,Gula,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-02/09_ගුල_gul.mp3
ක්‍රියාකාරකම-02,09,ගල,Gala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-02/09_ගල_gl.mp3
ක්‍රියාකාරකම-02,10,වල,Vala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-02/10_වල_vl.mp3
ක්‍රියාකාරකම-02,10,විල,Vila,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-02/10_විල_vil.mp3
ක්‍රියාකාරකම-02,11,මල්,Mal,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-02/11_මල්_ml.mp3
ක්‍රියාකාරකම-02,11,මුල්,Mul,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-02/11_මුල්_mul.mp3
ක්‍රියාකාරකම-02,12,සාලය,Saalaya,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-02/12_සාලය_saaly.mp3
ක්‍රියාකාරකම-02,12,සීලය,Siilaya,ඊ,ii,swara_audio_cloud/ක්‍රියාකාරකම-02/12_සීලය_siily.mp3
ක්‍රියාකාරකම-02,13,ටක්,Tak,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-02/13_ටක්_ttk.mp3
ක්‍රියාකාරකම-02,13,ටුක්,Tuk,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-02/13_ටුක්_ttuk.mp3
ක්‍රියාකාරකම-02,14,පාල,Paala,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-02/14_පාල_paal.mp3
ක්‍රියාකාරකම-02,14,පිල,Pila,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-02/14_පිල_pil.mp3
ක්‍රියාකාරකම-02,15,තලා,Talaa,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-02/15_තලා_tlaa.mp3
ක්‍රියාකාරකම-02,15,තුලා,Tulaa,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-02/15_තුලා_tulaa.mp3
ක්‍රියාකාරකම-04,01,පායන,Paayana,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-04/01_පායන_paayn.mp3
ක්‍රියාකාරකම-04,01,පියන,Piyana,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-04/01_පියන_piyn.mp3
ක්‍රියාකාරකම-04,02,සිහින,Sihina,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-04/02_සිහින_sihin.mp3
ක්‍රියාකාරකම-04,02,සහන,Sahana,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-04/02_සහන_shn.mp3
ක්‍රියාකාරකම-04,03,පැල,Paැla,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-04/03_පැල_pael.mp3
ක්‍රියාකාරකම-04,03,පිල,Pila,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-04/03_පිල_pil.mp3
ක්‍රියාකාරකම-04,04,වරල,Varala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-04/04_වරල_vrl.mp3
ක්‍රියාකාරකම-04,04,විරල,Virala,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-04/04_විරල_virl.mp3
ක්‍රියාකාරකම-04,05,කුසල,Kusala,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-04/05_කුසල_kusl.mp3
ක්‍රියාකාරකම-04,05,කසල,Kasala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-04/05_කසල_ksl.mp3
ක්‍රියාකාරකම-04,06,පැදුරු,Paැduru,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-04/06_පැදුරු_paeduru.mp3
ක්‍රියාකාරකම-04,06,පිදුරු,Piduru,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-04/06_පිදුරු_piduru.mp3
ක්‍රියාකාරකම-04,07,මේසය,Meesaya,ඒ,ee,swara_audio_cloud/ක්‍රියාකාරකම-04/07_මේසය_meesy.mp3
ක්‍රියාකාරකම-04,07,මාසය,Maasaya,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-04/07_මාසය_maasy.mp3
ක්‍රියාකාරකම-04,08,කදුරු,Kaduru,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-04/08_කදුරු_kduru.mp3
ක්‍රියාකාරකම-04,08,කිදුරු,Kiduru,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-04/08_කිදුරු_kiduru.mp3
ක්‍රියාකාරකම-04,09,මීයා,Miiyaa,ඊ,ii,swara_audio_cloud/ක්‍රියාකාරකම-04/09_මීයා_miiyaa.mp3
ක්‍රියාකාරකම-04,09,මායා,Maayaa,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-04/09_මායා_maayaa.mp3
ක්‍රියාකාරකම-04,10,කල,Kala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-04/10_කල_kl.mp3
ක්‍රියාකාරකම-04,10,කුල,Kula,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-04/10_කුල_kul.mp3
ක්‍රියාකාරකම-05,01,නල,Nala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/01_නල_nl.mp3
ක්‍රියාකාරකම-05,01,නිල,Nila,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/01_නිල_nil.mp3
ක්‍රියාකාරකම-05,02,වස්තර,Vastara,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/02_වස්තර_vstr.mp3
ක්‍රියාකාරකම-05,02,විස්තර,Vistara,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/02_විස්තර_vistr.mp3
ක්‍රියාකාරකම-05,03,පිලිකා,Pilikaa,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/03_පිලිකා_pilikaa.mp3
ක්‍රියාකාරකම-05,03,පාලිකා,Paalikaa,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-05/03_පාලිකා_paalikaa.mp3
ක්‍රියාකාරකම-05,04,වල,Vala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/04_වල_vl.mp3
ක්‍රියාකාරකම-05,04,විල,Vila,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/04_විල_vil.mp3
ක්‍රියාකාරකම-05,05,ගමන,Gamana,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/05_ගමන_gmn.mp3
ක්‍රියාකාරකම-05,05,ගිමන,Gimana,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/05_ගිමන_gimn.mp3
ක්‍රියාකාරකම-05,06,සම්පත්,Sampat,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/06_සම්පත්_smpt.mp3
ක්‍රියාකාරකම-05,06,සිම්පත්,Simpat,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/06_සිම්පත්_simpt.mp3
ක්‍රියාකාරකම-05,07,වසල,Vasala,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/07_වසල_vsl.mp3
ක්‍රියාකාරකම-05,07,වාසල,Vaasala,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-05/07_වාසල_vaasl.mp3
ක්‍රියාකාරකම-05,08,නයන,Nayana,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/08_නයන_nyn.mp3
ක්‍රියාකාරකම-05,08,නියන,Niyana,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/08_නියන_niyn.mp3
ක්‍රියාකාරකම-05,09,ගාල,Gaala,ආ,aa,swara_audio_cloud/ක්‍රියාකාරකම-05/09_ගාල_gaal.mp3
ක්‍රියාකාරකම-05,09,ගෝල,Goola,ඕ,oo,swara_audio_cloud/ක්‍රියාකාරකම-05/09_ගෝල_gool.mp3
ක්‍රියාකාරකම-05,10,ලස්සන,Lassana,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-05/10_ලස්සන_lssn.mp3
ක්‍රියාකාරකම-05,10,ලිස්සන,Lissana,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-05/10_ලිස්සන_lissn.mp3
