section,index,sentences,sentences_translit,highlighted_words,highlighted_translit,highlighted_vowels,audio_paths
NoHeader,01,ඔහු ගසේ මල කැඩුවා || ඔහු ගසේ මුල කැඩුවා,Ohu gasee mala kaැduvaa || Ohu gasee mula kaැduvaa,මල | මුල,Mala | Mula,මල|අ|a; මුල|උ|u,sentence_audio/NoHeader/01_1_ohu_gsee_ml_kaedduvaa.mp3 | sentence_audio/NoHeader/01_2_ohu_gsee_mul_kaedduvaa.mp3
NoHeader,02,නංගී කජු කන්න ආසයි || නංගී කේජු කන්න ආසයි,Nngii kaju kanna aasayi || Nngii keeju kanna aasayi,කජු | කේජු,Kaju | Keeju,කජු|අ|a; කේජු|ඒ|ee,sentence_audio/NoHeader/02_1_nNgii_kju_knn_aasyi.mp3 | sentence_audio/NoHeader/02_2_nNgii_keeju_knn_aasyi.mp3
NoHeader,03,එතන වලක් තියනවා || එතන විලක් තියනවා,Etana valak tiyanavaa || Etana vilak tiyanavaa,වලක් | විලක්,Valak | Vilak,වලක්|අ|a; විලක්|ඉ|i,sentence_audio/NoHeader/03_1_etn_vlk_tiynvaa.mp3 | sentence_audio/NoHeader/03_2_etn_vilk_tiynvaa.mp3
NoHeader,04,ගෝනියේ හාල් තියෙනවා || ගෝනියේ හිල් තියෙනවා,Gooniyee haal tiyenavaa || Gooniyee hil tiyenavaa,හාල් | හිල්,Haal | Hil,හාල්|ආ|aa; හිල්|ඉ|i,sentence_audio/NoHeader/04_1_gooniyee_haal_tiyenvaa.mp3 | sentence_audio/NoHeader/04_2_gooniyee_hil_tiyenvaa.mp3
NoHeader,05,තාත්තා කුඩයක් ගෙනවා || තාත්තා කූඩයක් ගෙනවා,Taattaa kudayak genavaa || Taattaa kuudayak genavaa,කුඩයක් | කූඩයක්,Kudayak | Kuudayak,කුඩයක්|උ|u; කූඩයක්|ඌ|uu,sentence_audio/NoHeader/05_1_taattaa_kuddyk_genvaa.mp3 | sentence_audio/NoHeader/05_2_taattaa_kuuddyk_genvaa.mp3
NoHeader,06,ගිය මාසේ කඩපු තැඹිලි ටික පල් වෙලා || ගිය මාසේ කඩපු තැඹිලි ටික පොල් වෙලා,Giya maasee kadapu taැඹili tika pal velaa || Giya maasee kadapu taැඹili tika pol velaa,පල් | පොල්,Pal | Pol,පල්|අ|a; පොල්|ඔ|o,sentence_audio/NoHeader/06_1_giy_maasee_kddpu_taembili_ttik.mp3 | sentence_audio/NoHeader/06_2_giy_maasee_kddpu_taembili_ttik.mp3
NoHeader,07,මල්ලී බල්ලාව දැක්කාද? || මල්ලී බිල්ලාව දැක්කාද?,Mallii ballaava daැkkaada? || Mallii billaava daැkkaada?,බල්ලාව | බිල්ලාව,Ballaava | Billaava,බල්ලාව|අ|a; බිල්ලාව|ඉ|i,sentence_audio/NoHeader/07_1_mllii_bllaav_daekkaad.mp3 | sentence_audio/NoHeader/07_2_mllii_billaav_daekkaad.mp3
